NormalFormat,CustomName,Year,Session,Timezone,Paper,Subject,Level,Questions,Original,Markscheme,Scanned,Printed,CompletedDate,Completed,Partial,Mark,Maximum,Notes,IgnoreUpdate,GB7,GB6,GB5,GB4,GB3,GB2,GB1,GBMAX
True,,2004.0,M,1.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ1\\original-M-2004-TZ1-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ1\\markscheme-M-2004-TZ1-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2004.0,M,2.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ2\\original-M-2004-TZ2-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ2\\markscheme-M-2004-TZ2-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2004.0,M,1.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ1\\original-M-2004-TZ1-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ1\\markscheme-M-2004-TZ1-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2004.0,M,2.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ2\\original-M-2004-TZ2-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2004/May/TZ2\\markscheme-M-2004-TZ2-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2004.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2004/November/TZ0\\original-N-2004-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2004/November/TZ0\\markscheme-N-2004-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2004.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2004/November/TZ0\\original-N-2004-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2004/November/TZ0\\markscheme-N-2004-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2005.0,M,1.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ1\\original-M-2005-TZ1-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ1\\markscheme-M-2005-TZ1-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2005.0,M,2.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ2\\original-M-2005-TZ2-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ2\\markscheme-M-2005-TZ2-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2005.0,M,1.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ1\\original-M-2005-TZ1-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ1\\markscheme-M-2005-TZ1-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2005.0,M,2.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ2\\original-M-2005-TZ2-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2005/May/TZ2\\markscheme-M-2005-TZ2-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2005.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2005/November/TZ0\\original-N-2005-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2005/November/TZ0\\markscheme-N-2005-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2005.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2005/November/TZ0\\original-N-2005-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2005/November/TZ0\\markscheme-N-2005-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2006.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2006/May/TZ0\\original-M-2006-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2006/May/TZ0\\markscheme-M-2006-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2006.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2006/May/TZ0\\original-M-2006-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2006/May/TZ0\\markscheme-M-2006-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2006.0,M,0.0,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2006/May/TZ0\\original-M-2006-TZ0-P3-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2006/May/TZ0\\markscheme-M-2006-TZ0-P3-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
